'description_localized_html: 15314.25'
'description_localized: 11692.26'
'claims_localized_html: 2031.80'
'claims_localized: 1291.18'
'citation: 872.58'
'cpc: 307.62'
'abstract_localized: 175.19'
'ipc: 87.86'
'priority_claim: 76.59'
'uspc: 71.92'
'child: 55.12'
'parent: 46.96'
'inventor_harmonized: 42.17'
'examiner: 25.21'
'title_localized: 24.47'
'assignee_harmonized: 23.69'
'locarno: 21.00'
'inventor: 19.72'
'publication_number: 8.89'
'application_number: 8.39'
'assignee: 8.19'
'spif_publication_number: 5.50'
'application_number_formatted: 5.00'
'family_id: 5.00'
'spif_application_number: 4.44'
'country_code: 3.00'
'publication_date: 3.00'
'filing_date: 2.92'
'priority_date: 2.92'
'kind_code: 2.65'
'pct_number: 2.44'
'grant_date: 2.26'
'art_unit: 2.14'
'application_kind: 2.01'
'entity_status: 1.82'
